Date,open,high,low,close,volume
2023-11-01,1799.94,1874.69,1783.44,1836.74,783.3965000000001
2023-11-02,1835.81,1841.99,1781.74,1789.97,387.125
2023-11-03,1787.14,1848.1,1786.1,1837.59,405.97860000000003
2023-11-04,1837.31,1893.94,1828.74,1888.56,613.1718999999999
2023-11-05,1890.76,1911.55,1859.3,1897.72,573.0106
2023-11-06,1896.63,1913.46,1868.4,1873.91,361.6361
2023-11-07,1871.35,1902.21,1850.65,1882.25,487.104
2023-11-08,1881.27,1928.75,1881.27,1911.88,741.0071
2023-11-09,1912.67,2137.24,1912.67,2097.1,2591.0412
2023-11-10,2095.83,2101.99,2033.08,2057.33,931.1496
2023-11-11,2056.99,2088.78,2021.97,2048.18,395.5201
2023-11-12,2049.21,2074.55,2030.32,2046.38,494.74649999999997
2023-11-13,2047.85,2117.61,2030.08,2034.79,733.9873
2023-11-14,2031.95,2053.71,1961.0,2012.44,720.8777
2023-11-15,2011.42,2090.11,2002.59,2068.59,1299.0803
2023-11-16,2069.85,2069.85,1941.0,1967.59,1151.906
2023-11-17,1965.61,1971.4,1912.33,1935.87,394.8515
2023-11-18,1937.66,1970.83,1931.71,1950.76,190.1678
2023-11-19,1952.75,2040.74,1945.78,2025.47,505.4881
2023-11-20,2022.04,2061.0,2000.23,2004.54,671.9995
2023-11-21,2005.75,2028.62,1931.62,2015.66,822.0696
2023-11-22,2015.0,2088.0,2010.59,2060.43,705.9123999999999
2023-11-23,2060.92,2120.0,2040.06,2097.06,506.6678
2023-11-24,2097.02,2130.94,2063.06,2070.59,412.5874
2023-11-25,2071.12,2094.13,2068.35,2084.99,247.4281
2023-11-26,2082.88,2087.79,2018.7,2024.12,239.6585
2023-11-27,2025.88,2040.35,1990.0,2027.8,426.2616
2023-11-28,2029.37,2074.06,2020.22,2053.64,468.3272
2023-11-29,2052.22,2061.44,2020.0,2045.0,221.3984
2023-11-30,2045.0,2104.19,2025.0,2093.9,576.7289
2023-12-01,2093.51,2100.0,2071.46,2099.27,620.0712
2023-12-02,2097.0,2178.0,2092.77,2158.45,487.8026
2023-12-03,2158.45,2271.73,2149.82,2236.55,718.31344
2023-12-04,2236.63,2255.08,2190.35,2202.66,452.7823
2023-12-05,2205.19,2311.51,2201.01,2252.76,933.2941900000001
2023-12-06,2253.31,2283.85,2221.1,2237.12,651.2617
2023-12-07,2237.26,2384.23,2233.19,2361.4,822.63981
2023-12-08,2363.75,2400.0,2339.06,2357.92,623.4333
2023-12-09,2355.28,2369.84,2322.91,2338.11,735.283
2023-12-10,2337.5,2373.41,2186.19,2249.61,801.6954
2023-12-11,2250.14,2250.41,2157.56,2209.55,504.9373
2023-12-12,2211.77,2232.35,2147.0,2171.01,350.4857
2023-12-13,2172.5,2307.68,2170.57,2307.68,524.862
2023-12-14,2308.13,2331.25,2237.26,2273.12,478.0536
2023-12-15,2273.99,2273.99,2211.62,2252.8,261.103
2023-12-16,2254.01,2263.15,2202.18,2216.54,208.6797
2023-12-17,2215.11,2248.7,2117.96,2142.03,521.1435
2023-12-18,2143.22,2253.28,2128.73,2235.73,454.2437
2023-12-19,2237.89,2238.8,2137.05,2214.64,329.602
2023-12-20,2212.27,2264.4,2159.08,2251.82,580.7698
2023-12-21,2252.48,2331.19,2204.74,2314.12,700.4646
2023-12-22,2314.99,2340.76,2267.34,2288.61,626.3139
2023-12-23,2289.56,2325.55,2275.37,2288.45,420.76709999999997
2023-12-24,2290.04,2306.81,2247.92,2278.34,408.9697
2023-12-25,2278.34,2302.27,2219.53,2242.72,316.6847
2023-12-26,2242.82,2289.99,2185.72,2284.84,444.4748
2023-12-27,2284.84,2441.29,2276.63,2401.24,1164.3218
2023-12-28,2401.24,2413.32,2313.22,2370.17,701.8136000000001
2023-12-29,2371.79,2384.3,2257.34,2285.9,507.8295
2023-12-30,2292.95,2323.0,2278.99,2310.08,188.7219
2023-12-31,2309.97,2320.0,2262.86,2302.86,345.5773
2024-01-01,2303.22,2425.21,2295.84,2390.72,661.9955
2024-01-02,2391.05,2402.16,2301.46,2306.38,559.1784
2024-01-03,2307.36,2309.1,2166.1,2225.9,1065.2752
2024-01-04,2229.27,2292.56,2215.71,2242.0,423.4412
2024-01-05,2242.05,2269.44,2206.87,2233.42,336.3993
2024-01-06,2233.42,2251.99,2225.68,2237.3,155.52700000000002
2024-01-07,2237.57,2256.68,2170.0,2232.32,506.5731
2024-01-08,2233.61,2356.61,2233.61,2298.16,662.7585
2024-01-09,2298.19,2418.7,2244.7,2400.69,1682.218
2024-01-10,2400.69,2664.28,2345.4,2657.86,2200.74811
2024-01-11,2658.07,2693.3,2571.09,2648.21,1189.02053
2024-01-12,2649.14,2708.42,2459.55,2541.05,1280.0277
2024-01-13,2543.4,2588.31,2530.0,2539.41,317.9526
2024-01-14,2536.92,2544.99,2472.07,2540.73,373.5023
2024-01-15,2540.75,2552.45,2502.73,2531.47,185.9561
2024-01-16,2531.7,2607.75,2499.87,2544.86,478.7396
2024-01-17,2543.46,2574.41,2510.0,2520.01,470.3823
2024-01-18,2521.77,2534.17,2440.0,2491.31,518.8795
2024-01-19,2488.57,2521.85,2425.54,2470.1,524.3349
2024-01-20,2472.36,2482.14,2457.22,2474.95,111.41159999999999
2024-01-21,2475.48,2481.62,2372.15,2385.25,332.9797
2024-01-22,2384.83,2404.6,2205.56,2216.71,527.0923
2024-01-23,2219.34,2264.89,2176.73,2248.51,486.09839999999997
2024-01-24,2248.3,2253.21,2200.95,2231.59,236.462
2024-01-25,2233.05,2261.87,2175.0,2256.18,272.9845
2024-01-26,2258.29,2282.69,2238.46,2266.86,342.553
2024-01-27,2266.74,2304.93,2261.84,2282.0,165.1548
2024-01-28,2282.1,2283.3,2245.47,2264.2,188.3066
2024-01-29,2265.24,2327.6,2236.28,2312.0,290.8342
2024-01-30,2312.53,2389.2,2282.11,2297.62,459.10020000000003
2024-01-31,2299.64,2349.99,2244.07,2267.45,300.1779
2024-02-01,2266.16,2320.0,2263.96,2314.7,113.5478
2024-02-02,2316.64,2329.89,2282.25,2306.68,152.812
2024-02-03,2304.27,2313.3,2288.29,2307.52,62.010600000000004
2024-02-04,2307.65,2329.0,2270.0,2327.23,211.513
2024-02-05,2329.49,2342.33,2283.87,2324.06,125.1478
2024-02-06,2325.86,2390.12,2311.24,2360.62,327.3361
2024-02-07,2361.66,2443.6,2361.18,2423.99,377.718
2024-02-08,2425.44,2503.07,2414.02,2499.57,412.8694
2024-02-09,2501.43,2522.25,2472.17,2482.09,317.71049999999997
2024-02-10,2482.7,2538.57,2481.64,2530.54,194.3846
2024-02-11,2530.6,2532.48,2473.92,2486.4,147.4719
2024-02-12,2486.57,2684.45,2482.87,2680.23,646.576
2024-02-13,2681.94,2756.59,2591.53,2753.02,534.71131
2024-02-14,2755.46,2821.69,2727.35,2787.84,601.58315
2024-02-15,2791.04,2866.82,2777.29,2824.67,459.64752
2024-02-16,2824.97,2847.29,2746.43,2781.24,298.3954
2024-02-17,2782.09,2821.46,2720.13,2803.8,301.7609
2024-02-18,2803.92,2920.0,2787.14,2909.74,479.32203
2024-02-19,2911.69,2981.42,2876.32,2935.29,763.75112
2024-02-20,2935.5,3021.6,2882.68,2898.62,1091.57946
2024-02-21,2898.78,3032.96,2869.68,2991.67,573.34291
2024-02-22,2988.41,3036.12,2914.43,2943.78,358.11220000000003
2024-02-23,2941.55,2964.81,2906.97,2963.34,156.541
2024-02-24,2961.33,3048.35,2955.45,3038.24,297.81552
2024-02-25,3040.76,3132.51,3029.95,3059.03,477.13961
2024-02-26,3059.03,3262.52,3039.44,3251.54,757.74159
2024-02-27,3251.54,3364.39,3205.63,3297.61,732.75467
2024-02-28,3297.61,3519.47,3184.04,3514.3,1552.95434
2024-02-29,3511.53,3511.53,3301.94,3411.55,780.3684
2024-03-01,3411.55,3458.16,3382.04,3401.52,556.981
2024-03-02,3402.33,3447.1,3367.98,3414.59,344.3787
2024-03-03,3411.97,3529.0,3407.14,3507.96,611.67305
2024-03-04,3509.7,3741.07,3472.01,3733.56,1456.146
2024-03-05,3734.14,3893.94,3207.58,3879.22,2363.11063
2024-03-06,3880.17,3895.31,3726.34,3788.28,901.7271
2024-03-07,3787.02,3953.9,3768.48,3946.34,975.801
2024-03-08,3951.46,3984.67,3825.1,3910.71,883.3503499999999
2024-03-09,3910.76,3961.53,3870.85,3932.5,296.2092
2024-03-10,3931.03,4053.56,3790.24,4034.85,799.30948
2024-03-11,4030.54,4092.86,3969.55,4021.2,724.86728
2024-03-12,4021.2,4080.0,3863.11,4052.36,725.7002
2024-03-13,4052.36,4052.36,3934.82,3956.61,890.8428
2024-03-14,3957.68,3968.96,3582.32,3689.11,1560.8462
2024-03-15,3685.3,3807.63,3612.21,3695.8,729.1962
2024-03-16,3690.2,3709.77,3418.63,3580.0,1005.9798
2024-03-17,3583.95,3679.47,3527.56,3599.09,410.8735
2024-03-18,3596.76,3609.98,3203.1,3275.33,1132.7961
2024-03-19,3269.98,3360.36,3062.05,3286.2,1018.562
2024-03-20,3286.36,3584.83,3144.74,3528.5,1008.1048
2024-03-21,3535.71,3571.75,3399.52,3411.49,634.611
2024-03-22,3403.57,3423.95,3250.25,3358.74,585.0295
2024-03-23,3360.06,3433.8,3300.97,3387.46,318.0243
2024-03-24,3382.84,3499.94,3335.48,3435.52,411.1996
2024-03-25,3435.0,3676.55,3430.71,3635.59,789.0853
2024-03-26,3632.31,3655.35,3535.19,3585.15,459.1141
2024-03-27,3583.58,3661.0,3462.63,3580.41,571.4544
2024-03-28,3584.82,3609.6,3528.5,3553.76,425.2107
2024-03-29,3551.04,3563.89,3480.01,3563.89,284.0297
2024-03-30,3559.13,3634.1,3500.0,3609.69,402.923
2024-03-31,3611.11,3654.76,3501.0,3540.96,491.0122
2024-04-01,3538.6,3650.0,3287.27,3305.35,857.7651000000001
2024-04-02,3308.21,3356.72,3203.82,3321.02,397.16720000000004
2024-04-03,3318.37,3367.36,3259.44,3343.36,208.8683
2024-04-04,3344.0,3442.78,3251.0,3253.02,358.9918
2024-04-05,3260.19,3346.59,3218.22,3332.4,200.73170000000002
2024-04-06,3331.78,3401.11,3316.34,3388.01,154.4767
2024-04-07,3386.46,3638.93,3368.67,3630.97,413.7097
2024-04-08,3634.64,3726.84,3582.95,3628.52,671.0516
2024-04-09,3632.36,3643.72,3453.52,3520.74,371.9049
2024-04-10,3522.93,3616.37,3417.12,3525.15,402.93240000000003
2024-04-11,3522.17,3572.43,3476.14,3533.32,333.5298
2024-04-12,3530.57,3531.06,3150.0,3277.65,808.5181
2024-04-13,3280.36,3298.32,2870.41,3028.98,906.9379
2024-04-14,3028.98,3277.84,2994.72,3229.05,349.9435
2024-04-15,3231.74,3241.53,2994.42,3092.11,382.6936
2024-04-16,3095.04,3122.92,2995.08,3040.19,353.2526
2024-04-17,3043.7,3063.05,2915.76,3049.83,295.0037
2024-04-18,3048.7,3125.42,2863.6,3105.46,330.344
2024-04-19,3101.03,3115.0,3019.63,3047.57,188.8876
2024-04-20,3046.05,3193.81,3044.7,3165.49,205.14170000000001
2024-04-21,3169.46,3233.43,3116.3,3192.87,134.2675
2024-04-22,3194.53,3221.59,3152.76,3179.25,220.9772
2024-04-23,3177.95,3286.51,3175.89,3280.54,320.4488
2024-04-24,3280.39,3291.36,3075.0,3112.54,316.81960000000004
2024-04-25,3110.32,3190.0,3085.0,3130.55,244.70170000000002
2024-04-26,3127.45,3166.33,3069.18,3123.78,114.39150000000001
2024-04-27,3122.17,3327.91,3122.17,3280.27,366.454
2024-04-28,3282.07,3350.0,3150.26,3160.13,276.4763
2024-04-29,3156.89,3249.32,3005.53,3007.86,247.97830000000002
2024-04-30,3007.22,3035.68,2817.59,2903.96,636.346
2024-05-01,2903.11,3013.99,2867.43,2992.54,214.7096
2024-05-02,2993.71,3035.39,2953.82,2982.81,147.8802
2024-05-03,2978.37,3167.55,2973.35,3130.52,214.8256
2024-05-04,3132.17,3170.15,3072.42,3135.42,132.9943
2024-05-05,3137.26,3219.0,3122.0,3148.94,171.6645
2024-05-06,3147.31,3152.19,3027.57,3064.86,237.091
2024-05-07,3064.75,3104.96,2979.37,2992.7,179.61599999999999
2024-05-08,2992.05,3031.68,2936.02,2980.46,193.3329
2024-05-09,2982.13,3058.63,2956.78,3036.74,99.9235
2024-05-10,3036.72,3043.72,2880.4,2903.54,208.5255
2024-05-11,2903.54,2944.77,2900.0,2926.89,50.852199999999996
2024-05-12,2929.39,2995.64,2866.0,2965.04,137.4231
2024-05-13,2964.56,2985.71,2884.23,2906.58,120.9
2024-05-14,2909.02,2932.68,2864.0,2897.8,139.8381
2024-05-15,2899.7,3041.23,2896.12,3010.78,271.3806
2024-05-16,3009.36,3057.58,2925.0,3029.26,158.2132
2024-05-17,3029.36,3142.99,3021.11,3135.88,237.1205
2024-05-18,3134.91,3136.7,3085.3,3102.46,80.94999999999999
2024-05-19,3103.83,3137.81,3048.67,3093.08,108.68220000000001
2024-05-20,3092.7,3800.0,3077.93,3783.85,1833.9125
2024-05-21,3783.81,3817.87,3578.0,3691.63,1685.6894
2024-05-22,3691.59,3920.06,3655.07,3920.06,694.9176
2024-05-23,3919.32,3945.9,3574.49,3712.03,1643.3953
2024-05-24,3710.47,3777.74,3666.8,3742.46,291.9211
2024-05-25,3741.19,3812.23,3724.0,3812.16,136.8889
2024-05-26,3809.28,3945.0,3791.1,3899.8,418.8676
2024-05-27,3899.47,3967.42,3823.97,3907.37,400.38849999999996
2024-05-28,3902.87,3910.0,3775.66,3811.17,342.5104
2024-05-29,3810.99,3837.12,3704.39,3738.74,253.7716
2024-05-30,3738.05,3819.87,3722.04,3801.96,228.5246
2024-05-31,3803.15,3843.57,3726.18,3787.41,202.2874
2024-06-01,3790.49,3836.99,3772.98,3805.75,151.2809
2024-06-02,3804.66,3830.77,3754.61,3811.79,141.3402
2024-06-03,3808.21,3849.73,3744.44,3773.2,247.6764
2024-06-04,3768.94,3837.15,3758.2,3802.86,564.1881
2024-06-05,3805.59,3885.55,3783.86,3848.74,382.1087
2024-06-06,3847.88,3864.81,3762.8,3835.87,249.7618
2024-06-07,3839.04,3839.48,3600.0,3682.94,490.979
2024-06-08,3684.61,3698.06,3664.78,3691.94,69.0669
2024-06-09,3695.48,3721.45,3648.78,3678.6,109.9695
2024-06-10,3675.99,3713.26,3507.71,3532.64,231.4252
2024-06-11,3530.58,3562.95,3434.26,3531.97,279.2108
2024-06-12,3532.96,3651.11,3474.7,3495.95,364.7786
2024-06-13,3495.51,3530.34,3430.67,3513.07,157.9039
2024-06-14,3514.72,3557.16,3363.98,3538.57,409.88680000000005
2024-06-15,3538.71,3592.57,3537.74,3555.5,140.4601
2024-06-16,3554.71,3652.07,3492.95,3527.7,160.1255
2024-06-17,3526.47,3573.97,3360.0,3418.22,358.0945
2024-06-18,3412.87,3583.43,3373.22,3537.98,282.1546
2024-06-19,3535.94,3624.22,3513.4,3598.62,105.7423
2024-06-20,3601.23,3609.98,3447.6,3502.91,157.6366
2024-06-21,3501.56,3546.63,3457.27,3494.09,139.6935
2024-06-22,3493.86,3520.66,3485.46,3496.06,46.4863
2024-06-23,3499.51,3503.84,3264.82,3321.15,277.7515
2024-06-24,3318.9,3394.26,3244.79,3377.22,320.40819999999997
2024-06-25,3374.2,3427.58,3359.61,3379.39,99.5086
2024-06-26,3382.41,3415.83,3327.91,3406.63,121.6792
2024-06-27,3403.06,3485.8,3403.06,3453.86,117.7558
2024-06-28,3453.03,3474.84,3367.9,3404.6,144.3194
2024-06-29,3401.1,3403.65,3356.72,3390.5,63.610200000000006
2024-06-30,3393.95,3522.86,3381.16,3460.81,132.2658
2024-07-01,3465.89,3499.6,3425.09,3452.24,74.0857
2024-07-02,3451.04,3461.61,3285.89,3308.25,194.1447
2024-07-03,3305.01,3324.86,3135.94,3157.42,268.1867
2024-07-04,3157.25,3170.95,2828.01,2945.56,605.0173
2024-07-05,2945.22,3026.63,2925.0,3015.98,175.0137
2024-07-06,3014.59,3081.35,3000.0,3024.49,90.8255
2024-07-07,3025.45,3094.68,2828.82,3052.37,198.5234
2024-07-08,3052.69,3113.22,2900.0,3083.07,224.2309
2024-07-09,3084.28,3127.37,3025.37,3102.14,109.8896
2024-07-10,3100.38,3156.17,3055.58,3149.46,182.872
