Date,open,high,low,close,volume
2023-11-01,34432.15,35954.99,34100.0,35382.54,507.71091
2023-11-02,35370.11,35459.5,34121.79,34200.0,237.94257000000002
2023-11-03,34210.01,34893.2,34152.0,34712.32,167.68411
2023-11-04,34696.81,35262.58,34650.0,35042.54,117.61187
2023-11-05,35046.27,35377.11,34600.0,35224.38,161.88228
2023-11-06,35224.38,35249.89,34562.55,34627.56,270.7339
2023-11-07,34627.56,35700.0,34524.98,35332.51,251.63969
2023-11-08,35332.53,36891.0,35103.03,36808.93,424.3963
2023-11-09,36808.93,37974.85,35881.16,37070.45,569.56742
2023-11-10,37079.5,37450.0,36830.6,36996.83,252.18537
2023-11-11,36990.24,37199.0,36728.06,37076.15,147.84794
2023-11-12,37076.14,37399.0,36706.72,36816.19,151.14395000000002
2023-11-13,36816.02,37025.0,36193.3,36268.17,246.75501
2023-11-14,36254.83,36688.83,35200.0,36199.99,318.77568
2023-11-15,36200.0,37850.0,36000.0,37250.0,335.47239
2023-11-16,37237.03,37321.05,35505.64,36391.44,318.42849
2023-11-17,36391.44,36699.0,35868.57,36419.43,207.37643
2023-11-18,36400.04,36765.65,36345.2,36439.3,119.39670000000001
2023-11-19,36440.09,37429.55,36400.0,37155.64,204.22724
2023-11-20,37142.05,37696.51,36704.26,37180.94,249.64672
2023-11-21,37164.74,37400.69,35735.33,36457.77,448.63528
2023-11-22,36456.77,37740.0,36236.84,37366.1,296.00307
2023-11-23,37370.01,37850.0,36886.88,37718.75,197.12984
2023-11-24,37718.75,38404.2,37518.0,37659.07,239.09903
2023-11-25,37647.18,37888.0,37619.8,37676.89,70.26679
2023-11-26,37676.89,37746.97,36900.37,37046.52,168.30424
2023-11-27,37046.51,37344.99,36720.09,37262.15,161.85091
2023-11-28,37252.3,38432.91,37139.7,38111.62,297.13723
2023-11-29,38111.61,38277.98,37575.0,37881.5,212.07851
2023-11-30,37897.91,38829.55,37509.01,38601.24,257.7776
2023-12-01,38574.43,38976.67,38216.99,38751.95,187.61704
2023-12-02,38751.96,39699.95,38714.85,39494.29,181.61488
2023-12-03,39472.24,42078.43,39428.57,41615.0,459.34933
2023-12-04,41586.68,42399.12,40918.3,41732.43,300.31311
2023-12-05,41723.85,44482.83,41686.68,43844.11,574.02335
2023-12-06,43844.55,44278.84,43092.17,43183.09,261.71681
2023-12-07,43195.36,43926.37,42961.77,43624.86,238.26694
2023-12-08,43641.98,44700.01,43495.6,43826.83,269.20862999999997
2023-12-09,43826.83,44127.69,43600.02,43746.56,94.5662
2023-12-10,43745.0,44021.67,41698.97,42350.18,224.13303000000002
2023-12-11,42355.79,42391.18,40232.18,41602.0,282.64722
2023-12-12,41601.99,42050.0,40647.38,41020.84,232.52248
2023-12-13,41013.79,43440.76,40989.28,43274.66,239.71417
2023-12-14,43252.89,43411.81,41503.81,42759.68,254.20028
2023-12-15,42783.97,42796.59,41624.6,42339.4,139.48695
2023-12-16,42347.54,42699.99,41700.0,41950.01,95.68138
2023-12-17,41982.83,42407.93,40533.7,41091.62,144.34838
2023-12-18,41091.58,43268.11,40889.02,42990.57,183.75309
2023-12-19,42981.94,43035.03,41818.34,42883.85,204.59468
2023-12-20,42882.03,44266.37,42761.45,43935.81,298.09106
2023-12-21,43933.01,44250.0,43400.0,43762.07,259.52894
2023-12-22,43767.89,44000.0,43316.8,43555.23,170.3759
2023-12-23,43555.23,43928.28,43435.86,43630.15,140.41762
2023-12-24,43630.15,43882.84,42759.01,43201.18,170.48839
2023-12-25,43200.66,43739.17,42333.59,42707.28,143.64937
2023-12-26,42692.31,43202.85,41788.0,43007.72,154.87544
2023-12-27,43007.72,43723.42,42721.23,43055.0,209.34157
2023-12-28,43034.18,43122.66,42147.96,42850.2,150.19607
2023-12-29,42849.65,43098.35,41296.35,41899.99,224.33727
2023-12-30,41899.97,42858.4,41873.95,42523.41,157.15709
2023-12-31,42523.41,42773.73,42117.0,42666.4,149.09539
2024-01-01,42700.0,45889.62,42590.34,45406.03,336.26646
2024-01-02,45442.14,45798.99,43750.97,43970.13,300.02426
2024-01-03,43969.8,44078.66,42045.02,43160.16,347.02886
2024-01-04,43171.16,44689.98,43093.58,43734.62,347.16961
2024-01-05,43744.57,44294.62,43118.92,43656.24,209.54654
2024-01-06,43689.87,44243.5,43545.15,44037.22,154.0237
2024-01-07,44074.06,44454.29,43289.84,44300.0,226.61102
2024-01-08,44300.0,47110.0,44274.1,46619.92,416.37073
2024-01-09,46598.61,47500.0,45416.18,45582.31,347.85513000000003
2024-01-10,45621.13,47650.5,44831.18,47016.23,466.94337
2024-01-11,47016.45,48400.0,45582.27,45948.49,387.55741
2024-01-12,45984.96,46101.36,41844.35,42636.57,370.64516
2024-01-13,42589.93,43264.0,42508.09,42823.81,174.45118
2024-01-14,42803.5,42999.98,41636.2,42670.0,213.36271
2024-01-15,42696.19,43320.8,42138.7,42916.6,165.39835
2024-01-16,42890.78,43554.13,42031.6,42690.0,182.57503
2024-01-17,42690.0,42944.6,42218.33,42574.4,128.73371
2024-01-18,42531.13,42806.88,40612.2,41490.92,310.25004
2024-01-19,41478.44,42311.5,40308.53,41576.07,197.79797
2024-01-20,41612.58,41859.17,41478.06,41724.56,83.60116000000001
2024-01-21,41707.77,41876.92,40418.83,40823.93,136.24969
2024-01-22,40823.93,41214.56,38640.0,38825.19,268.16646
2024-01-23,38820.06,40554.88,38570.59,40214.36,156.65077
2024-01-24,40216.08,40295.97,39380.27,40160.79,60.70525
2024-01-25,40160.8,41311.0,39523.69,41270.0,85.23913999999999
2024-01-26,41270.0,42193.81,40906.9,41716.82,102.45321
2024-01-27,41712.5,42814.07,41661.6,42422.55,46.87793
2024-01-28,42477.68,42481.13,41655.39,42206.21,55.05637
2024-01-29,42217.71,43730.23,41843.97,43554.52,83.72708
2024-01-30,43553.44,43800.0,42380.0,42661.1,69.49669
2024-01-31,42640.08,43726.57,41911.49,42055.46,103.65732
2024-02-01,42058.49,43413.76,41958.84,43139.27,101.91624
2024-02-02,43139.29,43458.22,42588.68,43001.86,58.18837
2024-02-03,43001.86,43270.0,42751.0,43067.05,22.76693
2024-02-04,43066.41,43236.15,42338.39,43204.85,52.80071
2024-02-05,43210.29,43537.69,42350.0,42781.06,71.3404
2024-02-06,42826.37,43370.33,42674.25,42924.08,57.80887
2024-02-07,42924.77,44864.71,42897.1,44676.17,100.76877999999999
2024-02-08,44676.67,47186.4,44615.77,47150.0,102.61382
2024-02-09,47149.96,48088.7,46513.52,47182.99,115.72399
2024-02-10,47154.07,48510.59,47123.24,48415.67,77.18747
2024-02-11,48415.67,48762.0,47734.4,47885.01,64.73571
