Date,btc_close,btc_high,btc_low,btc_volume,eth_close,spx_close,ndx_close,vix_close,gold_close,dxy_close,tnx_close,oc_hash_rate,oc_difficulty,oc_n_transactions,oc_miners_revenue,oc_n_unique_addresses,oc_transaction_fees_usd,oc_mempool_size,oc_estimated_transaction_volume_usd,oc_market_cap,oc_avg_block_size,oc_cost_per_transaction,cb_premium,cb_premium_ma3,cb_premium_z7
2023-11-01,35382.54,35954.99,34100.0,507.71091,1847.0897216796875,4237.85986328125,13061.4697265625,16.8700008392334,1978.800048828125,106.87999725341797,4.789000034332275,462656326.7648482,62463471666732.97,463644.0,32922837.157770928,796206.0,743380.9077709196,114108575.0,4737884154.795067,673337318368.75,1.5949489463087256,71.00887137064413,0.16267910670064295,,
2023-11-02,34200.0,35459.5,34121.79,237.94257000000002,1800.6209716796875,4317.77978515625,13294.1904296875,15.65999984741211,1985.5999755859375,106.12000274658203,4.669000148773193,447130946.6720681,62463471666733.0,403541.0,33351243.132835437,806444.0,831899.3828354297,112685161.0,4431468530.768458,680722874081.25,1.628937534722222,80.676650200137,2.1929824561403506,,
2023-11-03,34712.32,34893.2,34152.0,167.68411,1832.795166015625,4358.33984375,13478.2802734375,14.90999984741211,1991.5,105.0199966430664,4.558000087738037,422290338.52361983,62463471666733.0,452354.0,30526523.557337712,789502.0,1142717.3073377097,156534211.0,4845318003.346834,670743475481.25,1.5985437500000004,67.48370426112672,0.05459156864190318,0.8034177104942989,
2023-11-04,35042.54,35262.58,34650.0,117.61187,1857.6986083984375,4358.33984375,13478.2802734375,14.90999984741211,1991.5,105.0199966430664,4.558000087738037,521652771.1174128,62463471666732.86,698917.0,40679663.2595844,957847.0,2833807.009584391,177431729.0,1702192684.1513855,678461609962.5,1.6867411428571444,56.31673756097832,0.12690290144493283,0.7914923087423955,
2023-11-05,35224.38,35377.11,34600.0,161.88228,1894.15771484375,4358.33984375,13478.2802734375,14.90999984741211,1991.5,105.0199966430664,4.558000087738037,506127391.02463263,62463471666732.88,673375.0,38240754.28128319,891683.0,2500866.781283201,161269789.5,1792951507.3764021,686434203875.0,1.7244486196319018,56.789685214454344,-0.5364466315659755,-0.11831738715971318,
2023-11-06,34627.56,35249.89,34562.55,270.7339,1899.83740234375,4365.97998046875,13518.7802734375,14.890000343322754,1981.5999755859375,105.22000122070312,4.6620001792907715,394344654.35661566,62463471666733.0,439319.0,30426194.06464776,725183.0,2609000.31464776,170131258.0,3548525600.407826,684716684556.25,1.6756543622047244,69.25763298343063,1.2472724038309413,0.2792428912366329,
2023-11-07,35332.51,35700.0,34524.98,251.63969,1888.124267578125,4378.3798828125,13639.8603515625,14.8100004196167,1966.800048828125,105.54000091552734,4.571000099182129,412975110.4679518,62463471666733.0,450371.0,32192116.297135763,737771.0,3086316.2971357615,171090454.5,3993548211.335103,681709717500.0,1.5931909624060159,71.47910566429846,0.23709043031473506,0.315972067526567,-0.28511739622113036
2023-11-08,36808.93,36891.0,35103.03,424.3963,1889.3223876953125,4382.77978515625,13650.41015625,14.449999809265137,1951.5,105.58999633789062,4.5229997634887695,462656326.7648482,62463471666732.97,583201.0,37138019.602830954,837044.0,4180094.6028309595,185601959.0,5080135349.873515,691324560387.5,1.6537917315436244,63.679622639246084,-3.1780331566280324,-0.5645567741607853,-1.9101504177003439
2023-11-09,37070.45,37974.85,35881.16,569.56742,2120.56103515625,4347.35009765625,13521.4501953125,15.289999961853027,1964.199951171875,105.91000366210938,4.630000114440918,444025870.65351206,62463471666733.0,573466.0,42386514.038143665,832393.0,9218557.788143672,199979639.5,6287696612.251723,717821527500.0,1.6635914965034964,73.02517592459417,-0.9815365068403556,-1.3074930777178844,-0.3933995789037789
2023-11-10,36996.83,37450.0,36830.6,252.18537,2078.289794921875,4415.240234375,13798.1103515625,14.170000076293945,1932.5999755859375,105.86000061035156,4.627999782562256,478181706.85762835,62463471666732.94,523831.0,41589897.60578385,848433.0,6043066.355783893,182233890.5,5561958753.50992,722493728550.0,1.6213230194805193,79.39564020797519,0.8865624433228467,-1.0910024067151805,0.8133036471132318
2023-11-11,37076.15,37199.0,36728.06,147.84794,2052.7138671875,4415.240234375,13798.1103515625,14.170000076293945,1932.5999755859375,105.86000061035156,4.627999782562256,496812162.9689646,62463471666732.9,627529.0,42293293.39069208,894325.0,4284424.64069208,189862553.0,2477252247.2700353,724199206168.75,1.661074224999999,66.28689598154969,0.16983964084728637,0.02495519244325915,0.3231387941945952
