,px_open,px_high,px_low,px_close,px_volume,spy_open,spy_high,spy_low,spy_close,spy_volume,qqq_open,qqq_high,qqq_low,qqq_close,qqq_volume,xlk_open,xlk_high,xlk_low,xlk_close,xlk_volume,tnx_open,tnx_high,tnx_low,tnx_close,tnx_volume,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2023-08-07 13:00:00,39.529998779296875,39.529998779296875,39.45000076293945,39.4900016784668,1751.0,448.7099914550781,449.7699890136719,447.989990234375,449.6300048828125,14340786.0,373.8800048828125,374.8500061035156,372.04998779296875,373.70001220703125,10401092.0,85.94000244140625,86.23500061035156,85.44000244140625,85.80999755859375,1326174.0,,,,,,,,,,,,,,,
2023-08-07 18:00:00,39.726600646972656,39.726600646972656,39.640098571777344,39.640098571777344,500.0,449.635009765625,450.3949890136719,449.6099853515625,449.75,4152450.0,373.7799987792969,374.6400146484375,373.760009765625,374.1600036621094,2743761.0,85.5,85.66500091552734,85.5,85.57499694824219,394435.0,,,,,,,,,,,,,,,
2023-08-08 13:00:00,39.16999816894531,39.16999816894531,39.09000015258789,39.09000015258789,618.0,448.0,448.1499938964844,445.3999938964844,446.19000244140625,17810391.0,372.42999267578125,372.6199951171875,369.42999267578125,370.42498779296875,13223640.0,85.16999816894531,85.2699966430664,84.46499633789062,84.7300033569336,1417559.0,,,,,,,,,,,,,,,
2023-08-08 14:00:00,39.130001068115234,39.130001068115234,39.130001068115234,39.130001068115234,292.0,446.18011474609375,446.3900146484375,445.2705078125,446.19000244140625,8576107.0,370.42999267578125,370.6600036621094,368.8599853515625,369.79998779296875,8387917.0,84.7249984741211,84.75499725341797,84.30500030517578,84.55249786376953,717083.0,,,,,,,,,,,,,,,
2023-08-08 15:00:00,39.06769943237305,39.06769943237305,39.06769943237305,39.06769943237305,210.0,446.18499755859375,446.6300048828125,445.5199890136719,446.4599914550781,6913416.0,369.81500244140625,370.2699890136719,368.82000732421875,369.9800109863281,5280779.0,84.54000091552734,84.65750122070312,84.31500244140625,84.58000183105469,545261.0,,,,,,,,,,,,,,,
2023-08-08 17:00:00,39.18000030517578,39.37160110473633,39.18000030517578,39.37160110473633,0.0,446.92999267578125,447.9649963378906,446.54998779296875,447.6659851074219,6309583.0,370.3800048828125,371.4775085449219,369.9200134277344,371.0150146484375,4307416.0,84.71499633789062,84.97000122070312,84.625,84.87000274658203,510608.0,,,,,,,,,,,,,,,
2023-08-09 13:00:00,39.279998779296875,39.279998779296875,39.279998779296875,39.279998779296875,202.0,449.0299987792969,449.19989013671875,448.0299987792969,448.4700012207031,9062019.0,372.2900085449219,372.45001220703125,369.79998779296875,370.3999938964844,8746226.0,85.2750015258789,85.2750015258789,84.5,84.59500122070312,898923.0,,,,,,,,,,,,,,,
2023-08-09 14:00:00,39.150001525878906,39.150001525878906,39.150001525878906,39.150001525878906,337.0,448.45001220703125,448.6600036621094,445.8500061035156,446.0199890136719,9499435.0,370.3800048828125,370.5799865722656,367.19500732421875,367.69000244140625,8657610.0,84.58999633789062,84.63999938964844,83.7699966430664,83.94499969482422,904166.0,,,,,,,,,,,,,,,
2023-08-09 15:00:00,38.939998626708984,38.939998626708984,38.939998626708984,38.939998626708984,687.0,446.0199890136719,446.39990234375,444.9599914550781,445.9649963378906,8363181.0,367.69000244140625,368.6000061035156,367.1400146484375,368.30999755859375,6414961.0,83.94000244140625,84.23500061035156,83.8499984741211,84.17410278320312,1058026.0,,,,,,,,,,,,,,,
2023-08-09 16:00:00,38.970001220703125,39.119998931884766,38.970001220703125,39.11000061035156,1685.0,445.9649963378906,447.55999755859375,445.94000244140625,447.41900634765625,6916569.0,368.30999755859375,369.69500732421875,367.92999267578125,369.4801025390625,4209011.0,84.16500091552734,84.45500183105469,84.08999633789062,84.41500091552734,733244.0,,,,,,,,,,,,,,,
2023-08-09 19:00:00,39.11000061035156,39.11000061035156,38.9286994934082,38.9286994934082,0.0,447.80499267578125,447.8599853515625,445.42999267578125,445.760009765625,18485950.0,369.57501220703125,369.739501953125,367.5799865722656,367.8800048828125,8981826.0,84.46499633789062,84.50499725341797,83.9749984741211,84.0425033569336,1611029.0,,,,,,,,,,,,,,,
2023-08-10 13:00:00,39.34000015258789,39.34000015258789,39.34000015258789,39.34000015258789,380.0,448.19000244140625,451.70001220703125,447.989990234375,450.95001220703125,19975111.0,370.9700012207031,374.3599853515625,370.3214111328125,373.3450012207031,18420894.0,84.69999694824219,85.43499755859375,84.59500122070312,85.125,1535462.0,,,,,,,,,,,,,,,
2023-08-10 14:00:00,39.380001068115234,39.380001068115234,39.27000045776367,39.27000045776367,1126.0,450.9549865722656,451.30999755859375,447.9800109863281,448.8299865722656,13395008.0,373.3399963378906,373.8699951171875,370.05999755859375,370.9150085449219,9921733.0,85.13999938964844,85.2750015258789,84.3499984741211,84.55999755859375,694130.0,,,,,,,,,,,,,,,
2023-08-10 15:00:00,39.18840026855469,39.18840026855469,39.060001373291016,39.060001373291016,729.0,448.8399963378906,449.4700012207031,446.1499938964844,446.8711853027344,11883641.0,370.9100036621094,371.6199951171875,368.4700012207031,369.4100036621094,7622394.0,84.56500244140625,84.73999786376953,84.00499725341797,84.22000122070312,770699.0,,,,,,,,,,,,,,,
2023-08-10 16:00:00,39.029998779296875,39.029998779296875,39.029998779296875,39.029998779296875,192.0,446.8699951171875,447.95001220703125,445.7300109863281,446.05999755859375,9173232.0,369.3900146484375,370.5199890136719,368.19000244140625,368.57000732421875,9904935.0,84.22000122070312,84.47000122070312,83.95999908447266,84.05000305175781,650282.0,,,,,,,,,,,,,,,
2023-08-10 17:00:00,38.939998626708984,38.98210144042969,38.939998626708984,38.97610092163086,1059.0,446.0400085449219,447.0450134277344,444.7099914550781,446.42498779296875,10478489.0,368.55999755859375,369.2900085449219,367.0350036621094,368.7799987792969,7748047.0,84.03500366210938,84.20999908447266,83.65499877929688,84.07499694824219,739785.0,,,,,,,,,,,,,,,
2023-08-11 13:00:00,38.676300048828125,38.709999084472656,38.676300048828125,38.709999084472656,0.0,443.9700012207031,446.6700134277344,443.3450012207031,446.0450134277344,15138244.0,365.989990234375,368.0,365.04998779296875,367.31500244140625,12788885.0,83.4000015258789,83.94000244140625,83.22000122070312,83.80000305175781,1248118.0,,,,,,,,,,,,,,,
2023-08-11 14:00:00,38.779998779296875,38.779998779296875,38.779998779296875,38.779998779296875,553.0,446.05999755859375,446.7007141113281,444.4389953613281,444.5799865722656,7651243.0,367.3299865722656,367.7799987792969,365.1300048828125,365.1700134277344,6414371.0,83.79000091552734,83.86499786376953,83.27249908447266,83.2750015258789,813804.0,,,,,,,,,,,,,,,
2023-08-11 18:00:00,38.880001068115234,38.880001068115234,38.79029846191406,38.79029846191406,1385.0,445.6600036621094,446.239990234375,445.1698913574219,445.8699951171875,8117924.0,366.44000244140625,367.1000061035156,365.8399963378906,366.6000061035156,4991492.0,83.59750366210938,83.75,83.44000244140625,83.59500122070312,518255.0,,,,,,,,,,,,,,,
2023-08-14 13:00:00,38.619998931884766,38.71699905395508,38.619998931884766,38.71699905395508,765.0,444.760009765625,446.3800048828125,444.3800048828125,445.8900146484375,10881411.0,365.42999267578125,368.010009765625,364.70001220703125,367.3699951171875,10436908.0,83.36499786376953,84.03500366210938,83.16500091552734,83.83000183105469,1263857.0,,,,,,,,,,,,,,,
2023-08-14 14:00:00,39.060001373291016,39.060001373291016,39.060001373291016,39.060001373291016,0.0,445.909912109375,447.6000061035156,445.831787109375,447.1499938964844,7803436.0,367.3800048828125,369.8299865722656,367.31201171875,369.18011474609375,7043660.0,83.83000183105469,84.51499938964844,83.83000183105469,84.4000015258789,630392.0,,,,,,,,,,,,,,,
