,px_open,px_high,px_low,px_close,px_volume,cl_open,cl_high,cl_low,cl_close,cl_volume,bz_open,bz_high,bz_low,bz_close,bz_volume,xom_open,xom_high,xom_low,xom_close,xom_volume,dxy_open,dxy_high,dxy_low,dxy_close,dxy_volume,spx_open,spx_high,spx_low,spx_close,spx_volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2023-08-22 13:00:00,44.18000030517578,44.334999084472656,44.115150451660156,44.19499969482422,2701213.0,,,,,,,,,,,109.16999816894531,109.72000122070312,108.94000244140625,109.2300033569336,1818012.0,,,,,,4415.330078125,4418.58984375,4401.27001953125,4402.0498046875,0.0,,,,,
2023-08-22 14:00:00,44.19499969482422,44.19499969482422,44.0,44.125,1412174.0,,,,,,,,,,,109.2300033569336,109.2300033569336,108.68000030517578,108.98500061035156,1128315.0,,,,,,4402.14990234375,4405.31005859375,4393.72021484375,4400.6298828125,239668714.0,,,,,
2023-08-22 15:00:00,44.12540054321289,44.18709945678711,44.07749938964844,44.18709945678711,1367792.0,,,,,,,,,,,108.9800033569336,109.26000213623047,108.80000305175781,109.20500183105469,899916.0,,,,,,4400.58984375,4403.3798828125,4384.89013671875,4392.02978515625,203953405.0,,,,,
2023-08-22 16:00:00,44.1875,44.1875,43.900001525878906,43.939998626708984,1491487.0,,,,,,,,,,,109.2249984741211,109.23049926757812,108.52999877929688,108.62999725341797,781926.0,,,,,,4392.06982421875,4399.93017578125,4383.60986328125,4389.0400390625,177843857.0,,,,,
2023-08-22 17:00:00,43.94499969482422,43.974998474121094,43.834999084472656,43.90999984741211,1330691.0,,,,,,,,,,,108.63999938964844,108.69000244140625,108.30999755859375,108.44999694824219,885648.0,,,,,,4389.0400390625,4392.85009765625,4383.830078125,4392.47021484375,161949111.0,,,,,
2023-08-22 18:00:00,43.90999984741211,43.95500183105469,43.810001373291016,43.88999938964844,1905996.0,,,,,,,,,,,108.45989990234375,108.47000122070312,108.0199966430664,108.15499877929688,1491969.0,,,,,,4392.490234375,4400.9501953125,4387.22021484375,4391.64990234375,204589000.0,,,,,
2023-08-22 19:00:00,43.88999938964844,43.88999938964844,43.75749969482422,43.779998779296875,2280035.0,,,,,,,,,,,108.1500015258789,108.28500366210938,107.94999694824219,108.0999984741211,1996004.0,,,,,,4391.669921875,4391.669921875,4382.77001953125,4387.8701171875,293839000.0,,,,,
2023-08-23 13:00:00,43.310001373291016,43.404998779296875,42.935001373291016,43.24250030517578,6158818.0,,,,,,,,,,,107.04000091552734,107.22000122070312,105.72000122070312,106.4000015258789,2972253.0,,,,,,4396.43994140625,4418.14990234375,4396.43994140625,4415.66015625,382162533.0,,,,,
2023-08-23 14:00:00,43.29499816894531,43.48749923706055,43.17499923706055,43.45500183105469,2831120.0,,,,,,,,,,,106.41999816894531,106.95999908447266,106.13999938964844,106.81500244140625,1370685.0,,,,,,4415.7099609375,4429.72021484375,4413.5400390625,4428.5,241964348.0,,,,,
2023-08-23 15:00:00,43.459999084472656,43.537498474121094,43.41999816894531,43.51750183105469,2274273.0,,,,,,,,,,,106.83000183105469,107.08000183105469,106.66000366210938,107.02999877929688,1040317.0,,,,,,4428.52001953125,4430.52001953125,4423.52978515625,4427.6201171875,200717641.0,,,,,
2023-08-23 16:00:00,43.51750183105469,43.650001525878906,43.494998931884766,43.64250183105469,1593489.0,,,,,,,,,,,107.0199966430664,107.25,106.9000015258789,107.19000244140625,845618.0,,,,,,4427.60986328125,4439.759765625,4426.759765625,4439.169921875,157762576.0,,,,,
2023-08-23 17:00:00,43.64500045776367,43.71495056152344,43.57500076293945,43.60499954223633,1999285.0,,,,,,,,,,,107.19999694824219,107.30000305175781,106.94000244140625,107.01000213623047,832252.0,,,,,,4439.16015625,4443.18017578125,4433.77001953125,4436.22998046875,170269902.0,,,,,
2023-08-23 18:00:00,43.60765075683594,43.61750030517578,43.494998931884766,43.55500030517578,1274589.0,,,,,,,,,,,107.0,107.02999877929688,106.80000305175781,107.02239990234375,826027.0,,,,,,4436.22021484375,4438.64990234375,4430.9501953125,4438.60986328125,193449000.0,,,,,
2023-08-23 19:00:00,43.55500030517578,43.665000915527344,43.54154968261719,43.65999984741211,2453563.0,,,,,,,,,,,107.0199966430664,107.2300033569336,107.0,107.18000030517578,1855719.0,,,,,,4438.64013671875,4440.77001953125,4431.330078125,4436.5400390625,289657000.0,,,,,
2023-08-24 13:00:00,43.279998779296875,43.805049896240234,43.25,43.709999084472656,4316549.0,,,,,,,,,,,106.41999816894531,107.58999633789062,106.06999969482422,107.37999725341797,1922295.0,,,,,,4455.16015625,4458.2998046875,4428.64013671875,4428.64013671875,398761566.0,,,,,
2023-08-24 14:00:00,43.709999084472656,43.814998626708984,43.51750183105469,43.65999984741211,2813307.0,,,,,,,,,,,107.37999725341797,107.4800033569336,106.79000091552734,107.18000030517578,1271857.0,,,,,,4428.56005859375,4428.85986328125,4408.419921875,4412.8701171875,253981049.0,,,,,
2023-08-24 15:00:00,43.65999984741211,43.82500076293945,43.60749816894531,43.8125,1610767.0,,,,,,,,,,,107.18499755859375,107.7300033569336,107.05000305175781,107.72000122070312,1063907.0,,,,,,4412.8701171875,4412.8701171875,4398.22998046875,4406.740234375,191341956.0,,,,,
2023-08-24 16:00:00,43.80500030517578,43.834999084472656,43.54499816894531,43.55690002441406,1923379.0,,,,,,,,,,,107.71499633789062,107.76499938964844,106.81999969482422,106.8499984741211,689575.0,,,,,,4406.7099609375,4414.41015625,4396.75,4397.9501953125,159815429.0,,,,,
2023-08-24 17:00:00,43.55500030517578,43.627498626708984,43.54705047607422,43.60499954223633,1238282.0,,,,,,,,,,,106.83999633789062,107.0999984741211,106.81999969482422,107.09500122070312,810900.0,,,,,,4397.97021484375,4404.8798828125,4396.759765625,4397.81982421875,162531000.0,,,,,
2023-08-24 18:00:00,43.61000061035156,43.637001037597656,43.537498474121094,43.5724983215332,1350996.0,,,,,,,,,,,107.09500122070312,107.18000030517578,106.91500091552734,106.94999694824219,829544.0,,,,,,4397.83984375,4399.89013671875,4391.47998046875,4392.83984375,208896000.0,,,,,
2023-08-24 19:00:00,43.57500076293945,43.59000015258789,43.32749938964844,43.34000015258789,2703036.0,,,,,,,,,,,106.94999694824219,107.00499725341797,106.29000091552734,106.31999969482422,2382984.0,,,,,,4392.9501953125,4395.08984375,4375.5498046875,4375.990234375,327856000.0,,,,,
2023-08-25 13:00:00,43.6349983215332,43.720001220703125,43.3650016784668,43.407501220703125,3585797.0,,,,,,,,,,,107.43000030517578,107.70999908447266,106.83000183105469,106.9800033569336,2030126.0,,,,,,4389.3798828125,4416.85009765625,4378.77001953125,4382.169921875,0.0,,,,,
2023-08-25 14:00:00,43.415000915527344,43.70000076293945,43.255001068115234,43.69499969482422,2995921.0,,,,,,,,,,,106.9800033569336,107.75499725341797,106.62000274658203,107.74500274658203,1240329.0,,,,,,4382.06005859375,4386.0498046875,4356.2900390625,4385.89013671875,286809882.0,,,,,
2023-08-25 15:00:00,43.69499969482422,43.93000030517578,43.59934997558594,43.91999816894531,2808425.0,,,,,,,,,,,107.73999786376953,108.52999877929688,107.54000091552734,108.50499725341797,1849730.0,,,,,,4385.85986328125,4393.81005859375,4373.56005859375,4393.75,202881105.0,,,,,
2023-08-25 16:00:00,43.91999816894531,44.01499938964844,43.60499954223633,43.665000915527344,2890854.0,,,,,,,,,,,108.51000213623047,108.93000030517578,107.83999633789062,108.00499725341797,1857868.0,,,,,,4393.97998046875,4396.5400390625,4382.7998046875,4386.4599609375,160880729.0,,,,,
2023-08-25 17:00:00,43.665000915527344,43.98749923706055,43.54499816894531,43.98249816894531,2007794.0,,,,,,,,,,,107.99140167236328,108.70999908447266,107.68499755859375,108.69000244140625,1163262.0,,,,,,4386.669921875,4409.7900390625,4380.1201171875,4409.56982421875,163966000.0,,,,,
2023-08-25 18:00:00,43.98249816894531,44.01499938964844,43.86750030517578,43.91999816894531,1855750.0,,,,,,,,,,,108.70999908447266,108.77999877929688,108.43009948730469,108.54429626464844,1311720.0,,,,,,4409.580078125,4418.4599609375,4404.14990234375,4415.41015625,207922000.0,,,,,
2023-08-25 19:00:00,43.91999816894531,43.935001373291016,43.7400016784668,43.77750015258789,2476259.0,,,,,,,,,,,108.55000305175781,108.625,108.08499908447266,108.2699966430664,2085155.0,,,,,,4415.419921875,4417.39990234375,4401.669921875,4405.31982421875,281874000.0,,,,,
2023-08-28 13:00:00,43.90999984741211,44.41999816894531,43.88999938964844,44.25,3346718.0,,,,,,,,,,,108.44999694824219,110.04000091552734,108.44000244140625,109.68000030517578,2119868.0,,,,,,4426.02978515625,4438.3701171875,4424.2998046875,4437.18994140625,0.0,,,,,
2023-08-28 14:00:00,44.255001068115234,44.29499816894531,44.04499816894531,44.08000183105469,1723787.0,,,,,,,,,,,109.69999694824219,109.80999755859375,109.11000061035156,109.19000244140625,854059.0,,,,,,4437.43994140625,4438.14990234375,4418.6298828125,4420.43017578125,191274167.0,,,,,
2023-08-28 15:00:00,44.084999084472656,44.1150016784668,43.939998626708984,44.0,1459192.0,,,,,,,,,,,109.20999908447266,109.30999755859375,108.87000274658203,109.08000183105469,757574.0,,,,,,4420.47998046875,4425.330078125,4414.97998046875,4418.3798828125,157130047.0,,,,,
