,px_open,px_high,px_low,px_close,px_volume,btc_open,btc_high,btc_low,btc_close,btc_volume,mara_open,mara_high,mara_low,mara_close,mara_volume,riot_open,riot_high,riot_low,riot_close,riot_volume,coin_open,coin_high,coin_low,coin_close,coin_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,qqq_open,qqq_high,qqq_low,qqq_close,qqq_volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2022-02-08,26.200000762939453,27.299999237060547,25.940000534057617,27.049999237060547,153500.0,43854.65234375,45293.8671875,42807.8359375,44118.4453125,33079398868.0,25.0,26.399999618530273,24.6200008392334,26.329999923706055,12740300.0,17.523000717163086,18.40999984741211,17.200000762939453,18.290000915527344,10474500.0,200.3699951171875,209.25,196.75,208.72999572753906,4639100.0,3143.008544921875,3219.47265625,3038.3779296875,3122.608642578125,17136080906.0,353.9599914550781,360.239990234375,352.79998779296875,359.1199951171875,64720900.0,23.09000015258789,23.479999542236328,21.31999969482422,21.440000534057617,0.0
2022-02-09,27.600000381469727,28.719999313354492,27.200000762939453,28.719999313354492,144800.0,44096.703125,44727.80078125,43232.96875,44338.796875,23245887300.0,26.799999237060547,29.040000915527344,26.350000381469727,28.989999771118164,14937600.0,18.6299991607666,19.670000076293945,18.190000534057617,19.649999618530273,10223500.0,210.17999267578125,215.25,207.61000061035156,214.5,3811700.0,3121.1826171875,3263.15576171875,3063.16015625,3239.45703125,13951308490.0,363.760009765625,366.80999755859375,362.1199951171875,366.7300109863281,55766400.0,21.270000457763672,21.299999237060547,19.93000030517578,19.959999084472656,0.0
2022-02-10,28.100000381469727,30.510000228881836,27.450000762939453,28.540000915527344,150100.0,44347.80078125,45661.171875,43402.80859375,43565.11328125,32142048537.0,27.8799991607666,31.440000534057617,27.65999984741211,28.81999969482422,20081600.0,18.93000030517578,20.829999923706055,18.889999389648438,19.270000457763672,14023000.0,210.57000732421875,217.49000549316406,202.86000061035156,204.77000427246094,4587400.0,3240.113037109375,3271.316162109375,3070.378173828125,3077.482177734375,18629485080.0,359.5199890136719,366.489990234375,356.5400085449219,358.42999267578125,112468500.0,20.3700008392334,24.770000457763672,20.18000030517578,23.90999984741211,0.0
2022-02-11,28.260000228881836,28.954999923706055,26.479999542236328,26.68000030517578,66700.0,43571.12890625,43810.83203125,42114.5390625,42407.9375,26954925781.0,28.780000686645508,29.739999771118164,26.459999084472656,26.93000030517578,15399100.0,19.299999237060547,20.079999923706055,18.09000015258789,18.3700008392334,10814800.0,205.8000030517578,205.97999572753906,191.02000427246094,194.52999877929688,5054200.0,3077.4130859375,3127.45068359375,2888.707763671875,2927.383544921875,16043881065.0,358.42999267578125,360.07000732421875,345.79998779296875,347.05999755859375,101569100.0,24.389999389648438,30.989999771118164,23.329999923706055,27.360000610351562,0.0
2022-02-14,26.93000030517578,27.459999084472656,25.85300064086914,26.190000534057617,43700.0,42157.3984375,42775.77734375,41681.95703125,42586.91796875,20827783012.0,26.850000381469727,27.899999618530273,25.270000457763672,25.549999237060547,12765700.0,18.360000610351562,19.09000015258789,17.670000076293945,17.920000076293945,7381600.0,193.47999572753906,203.55999755859375,193.4600067138672,195.25,4528100.0,2880.187744140625,2957.963623046875,2840.257568359375,2933.47900390625,12164552172.0,346.489990234375,350.9800109863281,343.8900146484375,347.489990234375,80254400.0,29.170000076293945,32.040000915527344,28.329999923706055,28.329999923706055,0.0
2022-02-15,27.739999771118164,28.5,27.399999618530273,28.469999313354492,52300.0,42586.46484375,44667.21875,42491.03515625,44575.203125,22721659051.0,27.549999237060547,28.93000030517578,27.440000534057617,28.6299991607666,15775800.0,19.059999465942383,19.850000381469727,18.850000381469727,19.729999542236328,10252300.0,202.30999755859375,209.30999755859375,201.17999267578125,208.9499969482422,3714300.0,2933.72900390625,3185.520751953125,2917.857177734375,3179.877197265625,13921257873.0,352.9100036621094,356.3699951171875,351.82000732421875,356.1300048828125,55128800.0,28.09000015258789,28.09000015258789,25.329999923706055,25.700000762939453,0.0
2022-02-16,28.18000030517578,28.358999252319336,27.459999084472656,28.082000732421875,31800.0,44578.27734375,44578.27734375,43456.69140625,43961.859375,19792547657.0,27.56999969482422,28.93000030517578,27.110000610351562,28.399999618530273,10612800.0,19.134000778198242,19.860000610351562,18.959999084472656,19.59000015258789,6371100.0,205.3800048828125,214.02000427246094,203.8300018310547,207.9600067138672,3593600.0,3180.44677734375,3181.616943359375,3055.168212890625,3127.830078125,12352406833.0,353.82000732421875,357.0899963378906,350.7099914550781,356.0400085449219,58947100.0,25.190000534057617,27.09000015258789,23.8799991607666,24.290000915527344,0.0
2022-02-17,27.5,27.5,25.940000534057617,26.079999923706055,39000.0,43937.0703125,44132.97265625,40249.37109375,40538.01171875,26246662813.0,27.139999389648438,27.8799991607666,25.5,25.719999313354492,10745900.0,19.0,19.34000015258789,17.600000381469727,17.760000228881836,7025300.0,202.10000610351562,206.30999755859375,188.92999267578125,191.9199981689453,4740600.0,3126.8583984375,3154.615234375,2861.85205078125,2881.48193359375,15860206214.0,352.739990234375,353.4599914550781,345.0199890136719,345.45001220703125,61801400.0,24.829999923706055,28.3700008392334,24.760000228881836,28.110000610351562,0.0
2022-02-18,26.0,26.0,24.229999542236328,24.5,49200.0,40552.1328125,40929.15234375,39637.6171875,40030.9765625,23310007704.0,25.6200008392334,25.760000228881836,23.829999923706055,23.889999389648438,10793200.0,17.68000030517578,17.84000015258789,16.729999542236328,16.969999313354492,6579100.0,191.0800018310547,192.72000122070312,180.5399932861328,189.16000366210938,4502200.0,2884.340576171875,2937.30859375,2761.643310546875,2785.7275390625,15748173433.0,346.4100036621094,346.80999755859375,339.1400146484375,341.510009765625,80001500.0,26.65999984741211,29.709999084472656,26.3799991607666,27.75,0.0
2022-02-22,24.0,24.360000610351562,23.389999389648438,23.999000549316406,21500.0,37068.76953125,38359.85546875,36488.93359375,38286.02734375,25493150450.0,22.899999618530273,24.100000381469727,22.010000228881836,22.530000686645508,12002300.0,16.11400032043457,16.996000289916992,15.710000038146973,15.949999809265137,7301500.0,180.8699951171875,185.75,173.16000366210938,176.75999450683594,4472800.0,2572.898681640625,2648.916748046875,2510.6787109375,2639.29931640625,16360200507.0,338.489990234375,344.0400085449219,334.3500061035156,338.0799865722656,85967100.0,31.799999237060547,32.040000915527344,28.399999618530273,28.809999465942383,0.0
